Polymer,Normalised.Counts,Replicate,Group,Selected.iTEC
369,0.295128,A,Negative Control,Negative Control
369,0.088527,B,Negative Control,Negative Control
369,0.279676,C,Negative Control,Negative Control
258,0.386981,A,Polymer,Rejected with iTEC
258,0.411473,B,Polymer,Rejected with iTEC
258,0.876086,C,Polymer,Rejected with iTEC
309,0.911741,A,Polymer,Rejected with iTEC
309,0.446176,B,Polymer,Rejected with iTEC
309,0.455124,C,Polymer,Rejected with iTEC
316,0.135783,A,Polymer,Rejected with iTEC
316,0.524788,B,Polymer,Rejected with iTEC
316,0.784019,C,Polymer,Rejected with iTEC
327,0.016773,A,Polymer,Rejected with iTEC
327,0.043909,B,Polymer,Rejected with iTEC
327,0.57846,C,Polymer,Rejected with iTEC
361,0.097045,A,Polymer,Rejected with iTEC
361,0.347734,B,Polymer,Rejected with iTEC
361,0.117545,C,Polymer,Rejected with iTEC
394,1.203275,A,Polymer,Rejected with iTEC
394,1.13881,B,Polymer,Rejected with iTEC
394,0.71106,C,Polymer,Rejected with iTEC
396,0.702476,A,Polymer,Rejected with iTEC
396,0.851983,B,Polymer,Rejected with iTEC
396,0.926462,C,Polymer,Rejected with iTEC
398,0.098243,A,Polymer,Rejected with iTEC
398,0.055949,B,Polymer,Rejected with iTEC
398,0.135495,C,Polymer,Rejected with iTEC
481,0.004393,A,Polymer,Rejected with iTEC
481,0.017705,B,Polymer,Rejected with iTEC
481,0.04227,C,Polymer,Rejected with iTEC
529,0.935304,A,Polymer,Rejected with iTEC
529,0.568697,B,Polymer,Rejected with iTEC
529,0.18703,C,Polymer,Rejected with iTEC
531,0.182508,A,Polymer,Rejected with iTEC
531,0.19051,B,Polymer,Rejected with iTEC
531,0.264042,C,Polymer,Rejected with iTEC
551,0.563099,A,Polymer,Rejected with iTEC
551,0.116856,B,Polymer,Rejected with iTEC
551,0.182976,C,Polymer,Rejected with iTEC
98,0.068291,A,Polymer,Rejected with iTEC
98,0.026912,B,Polymer,Rejected with iTEC
98,0.276202,C,Polymer,Rejected with iTEC
509,0.689696,A,Polymer,Rejected with iTEC
509,0.655099,B,Polymer,Rejected with iTEC
509,0.294731,C,Polymer,Rejected with iTEC
520,0.72524,A,Polymer,Rejected with iTEC
520,0.665722,B,Polymer,Rejected with iTEC
520,0.240301,C,Polymer,Rejected with iTEC
111,1.366214,A,Polymer,Selected with iTEC
111,1.439802,B,Polymer,Selected with iTEC
111,0.954256,C,Polymer,Selected with iTEC
287,1.146565,A,Polymer,Selected with iTEC
287,1.361898,B,Polymer,Selected with iTEC
287,0.738854,C,Polymer,Selected with iTEC
427,1.155751,A,Polymer,Selected with iTEC
427,1.201133,B,Polymer,Selected with iTEC
427,0.851187,C,Polymer,Selected with iTEC
519,1.038339,A,Polymer,Selected with iTEC
519,1.095609,B,Polymer,Selected with iTEC
519,0.696584,C,Polymer,Selected with iTEC
563,1.272764,A,Polymer,Selected with iTEC
563,1.30949,B,Polymer,Selected with iTEC
563,0.974522,C,Polymer,Selected with iTEC
Gel,1,A,Positive Control,Selected with iTEC
Gel,1,B,Positive Control,Selected with iTEC
Gel,1,C,Positive Control,Selected with iTEC
