Polymer,Normalised Count,Replicate,Group,Selected.iTEC
396,0.702376,A,Polymer,N/A
258,0.410522,A,Polymer,N/A
427,0.976733,A,Polymer,N/A
529,0.062558,A,Polymer,N/A
394,0.622015,A,Polymer,N/A
563,0.600958,A,Polymer,N/A
111,1.000859,A,Polymer,N/A
309,0.123826,A,Polymer,N/A
98,0.051016,A,Polymer,N/A
327,0.508625,A,Polymer,N/A
531,0.082878,A,Polymer,N/A
481,0.011542,A,Polymer,N/A
520,0.899257,A,Polymer,N/A
287,1.020075,A,Polymer,N/A
551,0.043097,A,Polymer,N/A
316,0.552275,A,Polymer,N/A
519,0.975014,A,Polymer,N/A
509,0.305482,A,Polymer,N/A
361,0.442262,A,Polymer,N/A
398,0.043035,A,Polymer,N/A
369,0.091534,A,Negative Control,N/A
Gel,1,A,Positive Control,N/A
396,0.79093,B,Polymer,N/A
258,0.087863,B,Polymer,N/A
427,0.232466,B,Polymer,N/A
529,0.001111,B,Polymer,N/A
394,0.613982,B,Polymer,N/A
563,0.679949,B,Polymer,N/A
111,0.752584,B,Polymer,N/A
309,0.171891,B,Polymer,N/A
98,0.001334,B,Polymer,N/A
327,0.218128,B,Polymer,N/A
531,0.005335,B,Polymer,N/A
481,0.005002,B,Polymer,N/A
520,0.069468,B,Polymer,N/A
287,1.112093,B,Polymer,N/A
551,0.178615,B,Polymer,N/A
316,0.017172,B,Polymer,N/A
519,0.649883,B,Polymer,N/A
509,0.713905,B,Polymer,N/A
361,0,B,Polymer,N/A
398,0.002167,B,Polymer,N/A
369,0.022063,B,Negative Control,N/A
Gel,1,B,Positive Control,N/A
396,0.495616,C,Polymer,N/A
258,0.098877,C,Polymer,N/A
427,1.271589,C,Polymer,N/A
529,0.002549,C,Polymer,N/A
394,0,C,Polymer,N/A
563,1.220246,C,Polymer,N/A
111,1.140388,C,Polymer,N/A
309,0.627966,C,Polymer,N/A
98,0.032044,C,Polymer,N/A
327,0.04406,C,Polymer,N/A
531,0.146242,C,Polymer,N/A
481,0.03717,C,Polymer,N/A
520,0.654688,C,Polymer,N/A
287,1.203804,C,Polymer,N/A
551,1.359402,C,Polymer,N/A
316,0.045013,C,Polymer,N/A
519,1.190723,C,Polymer,N/A
509,0.814095,C,Polymer,N/A
361,0.012745,C,Polymer,N/A
398,0.042268,C,Polymer,N/A
369,0,C,Negative Control,N/A
Gel,1,C,Positive Control,N/A
