Polymer,Cell-Count,Replicate,Selected.iTEC
111,3421,A,Selected with iTEC
111,2033,B,Selected with iTEC
111,1648,C,Selected with iTEC
258,969,A,Rejected with iTEC
258,581,B,Rejected with iTEC
258,1513,C,Rejected with iTEC
287,2871,A,Selected with iTEC
287,1923,B,Selected with iTEC
287,1276,C,Selected with iTEC
309,2283,A,Rejected with iTEC
309,630,B,Rejected with iTEC
309,786,C,Rejected with iTEC
316,340,A,Rejected with iTEC
316,741,B,Rejected with iTEC
316,1354,C,Rejected with iTEC
327,42,A,Rejected with iTEC
327,62,B,Rejected with iTEC
327,999,C,Rejected with iTEC
361,243,A,Rejected with iTEC
361,491,B,Rejected with iTEC
361,203,C,Rejected with iTEC
369,739,A,Negative Control
369,125,B,Negative Control
369,483,C,Negative Control
394,3013,A,Rejected with iTEC
394,1608,B,Rejected with iTEC
394,1228,C,Rejected with iTEC
396,1759,A,Rejected with iTEC
396,1203,B,Rejected with iTEC
396,1600,C,Rejected with iTEC
398,246,A,Rejected with iTEC
398,79,B,Rejected with iTEC
398,234,C,Rejected with iTEC
427,2894,A,Selected with iTEC
427,1696,B,Selected with iTEC
427,1470,C,Selected with iTEC
481,11,A,Rejected with iTEC
481,25,B,Rejected with iTEC
481,73,C,Rejected with iTEC
509,1727,A,Rejected with iTEC
509,925,B,Rejected with iTEC
509,509,C,Rejected with iTEC
519,2600,A,Selected with iTEC
519,1547,B,Selected with iTEC
519,1203,C,Selected with iTEC
520,1816,A,Rejected with iTEC
520,940,B,Rejected with iTEC
520,415,C,Rejected with iTEC
529,2342,A,Rejected with iTEC
529,803,B,Rejected with iTEC
529,323,C,Rejected with iTEC
531,457,A,Rejected with iTEC
531,269,B,Rejected with iTEC
531,456,C,Rejected with iTEC
551,1410,A,Rejected with iTEC
551,165,B,Rejected with iTEC
551,316,C,Rejected with iTEC
563,3187,A,Selected with iTEC
563,1849,B,Selected with iTEC
563,1683,C,Selected with iTEC
98,171,A,Rejected with iTEC
98,38,B,Rejected with iTEC
98,477,C,Rejected with iTEC
Gel,2504,A,Positive Control
Gel,1412,B,Positive Control
Gel,1727,C,Positive Control
